lat,lon
37.5482,127.0855
10.9447,106.8243
21.0245,105.8412
10.8230,106.6296
39.9075,116.3972
21.0245,105.8412
13.7540,100.5014
1.3215,103.6957
36.5924,127.2922
52.3740,4.8897
1.3215,103.6957
-3.1019,-60.0250
33.5092,-111.8990
39.9122,116.3561
21.0245,105.8412
22.3500,114.1833
36.7545,10.2217
50.6942,3.1746
48.2085,16.3721
43.4586,11.7981
56.9460,24.1059
54.7431,55.9678
50.4057,8.1546
